day,time,rank,forgo none floor,forgo none u,forgo one floor,forgo one u,forgo two floor,forgo two u,forgo three floor,forgo three u
Thursday,1:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",Third,1.24,Basement,1.102,Third,1.018,Basement,1.989
Thursday,4:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",Basement,1.12,Basement,1.249,Basement,0.786,Basement,2.254
Thursday,7:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",First,2.568,First,2.058,Third,1.635,First,3.042
Thursday,10:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",Third,1.598,Basement,1.543,Third,1.313,Basement,2.784
Friday,10:30 AM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",Second,1.465,Second,1.516,Fourth,1.237,Basement,2.386
Friday,1:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",First,2.065,Second,1.68,Second,1.167,Basement,2.917
Friday,4:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",Second,1.346,Basement,1.47,Fourth,1.198,Basement,2.652
Friday,7:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",First,1.914,Basement,2.058,Basement,1.294,Basement,3.712
Friday,10:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 2}",First,2.165,Basement,2.205,Basement,1.386,Basement,3.977
Monday,10:30 AM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,1.911,Basement,1.6,Third,1.118,Basement,3.018
Monday,1:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,1.771,First,1.391,Third,0.942,Basement,2.264
Monday,4:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,0.979,First,0.769,Fourth,0.556,First,1.174
Monday,7:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,1.398,First,1.098,Fourth,0.687,Basement,2.012
Monday,10:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,1.359,Basement,1.533,Basement,0.906,Basement,2.892
Tuesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,2.097,First,1.647,Third,0.921,First,2.515
Tuesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,1.398,First,1.098,Third,0.658,Basement,1.886
Tuesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,0.827,Basement,0.933,Basement,0.552,Basement,1.761
Tuesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,1.064,Basement,1.2,Basement,0.709,Basement,2.264
Tuesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,1.538,First,1.208,Third,0.855,Basement,2.138
Wednesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",Third,1.775,Basement,1.867,Fourth,1.407,Basement,3.521
Wednesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",First,1.491,First,1.171,Third,0.833,First,1.789
Wednesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 3, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,1.005,Basement,1.133,Basement,0.67,Basement,2.138
